Prefix,Folder1 File,Folder2 File,SSIM,MSE,NCC,Pixel Overlap
Image_01L,Image_01L.png,Image_01L_2ndHO.png,0.8203762303928626,18.141272522522524,0.48391083129625817,0.22198656990323656
Image_01R,Image_01R.png,Image_01R_2ndHO.png,0.823640866618611,17.339817942942943,0.48966649306116894,0.2200565148481815
Image_02L,Image_02L.png,Image_02L_2ndHO.png,0.8073466998047321,19.915301760093428,0.49069753088836754,0.20987654320987653
Image_02R,Image_02R.png,Image_02R_2ndHO.png,0.8001827535383418,19.539407115448782,0.4744857059587228,0.21361986986986986
Image_03L,Image_03L.png,Image_03L_2ndHO.png,0.8090811557229503,20.425149107440774,0.5533531589957363,0.21391182849516183
Image_03R,Image_03R.png,Image_03R_2ndHO.png,0.8108576628987773,19.03056493993994,0.5092925014776873,0.21933495995995997
Image_04L,Image_04L.png,Image_04L_2ndHO.png,0.8182928295912141,16.786382215548883,0.43018152038155066,0.23865636469803136
Image_04R,Image_04R.png,Image_04R_2ndHO.png,0.8323556786428767,16.114045295295295,0.45592982803800997,0.23175675675675675
Image_05L,Image_05L.png,Image_05L_2ndHO.png,0.8224524822365543,18.207429304304306,0.5330693031677556,0.2245193109776443
Image_05R,Image_05R.png,Image_05R_2ndHO.png,0.8082797482721733,20.17398544377711,0.5313550264292266,0.2233983983983984
Image_06L,Image_06L.png,Image_06L_2ndHO.png,0.8342371865670376,16.371918793793792,0.4941167554528121,0.2290404988321655
Image_06R,Image_06R.png,Image_06R_2ndHO.png,0.8020375199433892,19.33873561061061,0.47323680540467594,0.22005755755755757
Image_07L,Image_07L.png,Image_07L_2ndHO.png,0.802180584024652,19.087880588922257,0.46423332910899345,0.22735026693360028
Image_07R,Image_07R.png,Image_07R_1stHO.png,0.7960089272057176,19.306598264931598,0.4569682629334946,0.23530301134467801
Image_08L,Image_08L.png,Image_08L_2ndHO.png,0.7897373056247519,19.506832874541207,0.39232337835225406,0.2167208875542209
Image_08R,Image_08R.png,Image_08R_2ndHO.png,0.8244023756897073,18.21602852852853,0.5039241814513504,0.2171942776109443
Image_09L,Image_09L.png,Image_09L_2ndHO.png,0.8330954777366738,15.835942192192192,0.4182897576007025,0.2585919252585919
Image_09R,Image_09R.png,Image_09R_2ndHO.png,0.8318829954206235,16.354888221554887,0.4437216220855966,0.25935101768435104
Image_10L,Image_10L.png,Image_10L_2ndHO.png,0.7635153258474886,22.280367867867866,0.36715126542736337,0.2108963129796463
Image_10R,Image_10R.png,Image_10R_2ndHO.png,0.7957110109873391,21.2224015682349,0.4857233664443879,0.1995067984651318
Image_11L,Image_11L.png,Image_11L_2ndHO.png,0.8251767035708536,18.669512220553887,0.518014078747444,0.23267434100767434
Image_11R,Image_11R.png,Image_11R_2ndHO.png,0.8416219734418633,16.355750542208874,0.49655474457834325,0.2482638888888889
Image_12L,Image_12L.png,Image_12L_2ndHO.png,0.7981499708105214,18.635593927260594,0.42821232284823535,0.2283762929596263
Image_12R,Image_12R.png,Image_12R_2ndHO.png,0.7825579968286263,20.98949470303637,0.4552331665408752,0.21663642809476144
Image_13L,Image_13L.png,Image_13L_2ndHO.png,0.8272533682680312,16.317346513179846,0.446561089354715,0.24415352852852854
Image_13R,Image_13R.png,Image_13R_2ndHO.png,0.7963920372423322,17.727479562896228,0.36039851222984104,0.24636824324324325
Image_14L,Image_14L.png,Image_14L_2ndHO.png,0.8151811480249979,18.28447301468135,0.47990904682050656,0.23075367033700367
Image_14R,Image_14R.png,Image_14R_2ndHO.png,0.8373655825382877,15.611788872205539,0.47109230564866766,0.23130943443443444
Overall Average,-,-,0.8124776284818566,18.420942482661236,0.4681287818115979,0.2274880535297202
