Prefix,Folder1 File,Folder2 File,SSIM,MSE,NCC,Pixel Overlap
Image_01L,Image_01L.png,Image_01L_2ndHO.png,0.7910917538568328,16.821487112112113,0.4308272410804074,0.5264942025358692
Image_01R,Image_01R.png,Image_01R_2ndHO.png,0.7893051185596692,16.00294044044044,0.39919573585525975,0.5446133633633634
Image_02L,Image_02L.png,Image_02L_2ndHO.png,0.7594297611693938,18.818878253253253,0.42095508968915696,0.5087107941274608
Image_02R,Image_02R.png,Image_02R_2ndHO.png,0.7533703726337437,18.161096513179846,0.3588143499624391,0.5251929012345679
Image_03L,Image_03L.png,Image_03L_2ndHO.png,0.7686122263785606,18.7308495995996,0.4337875745238593,0.5253190690690691
Image_03R,Image_03R.png,Image_03R_2ndHO.png,0.7736862086534206,17.343122288955623,0.3955485092546117,0.5290842926259592
Image_04L,Image_04L.png,Image_04L_2ndHO.png,0.7856632659678985,15.943161911911911,0.3449009520911791,0.5466883550216883
Image_04R,Image_04R.png,Image_04R_2ndHO.png,0.7903740449869163,15.500839381047715,0.33245972454266165,0.5437698114781448
Image_05L,Image_05L.png,Image_05L_2ndHO.png,0.7799991727398005,17.43834772272272,0.44485298373301724,0.507738988988989
Image_05R,Image_05R.png,Image_05R_2ndHO.png,0.7683842856057191,18.93006965298632,0.4562438371683057,0.5017017017017017
Image_06L,Image_06L.png,Image_06L_2ndHO.png,0.8006526916594645,15.80207916249583,0.42922688417463656,0.5401974891558224
Image_06R,Image_06R.png,Image_06R_2ndHO.png,0.7609870524376109,18.15156197864531,0.3610226835659095,0.53716007674341
Image_07L,Image_07L.png,Image_07L_2ndHO.png,0.7670272185489212,18.305384551217884,0.39100665537197044,0.513156906906907
Image_07R,Image_07R.png,Image_07R_1stHO.png,0.7681550479103506,18.488501001001,0.4082968378920053,0.5198844678011345
Image_08L,Image_08L.png,Image_08L_2ndHO.png,0.7493475247031962,18.26477727727728,0.3579130294408545,0.5389848181514848
Image_08R,Image_08R.png,Image_08R_2ndHO.png,0.784098865193161,16.40439293460127,0.4071698401011656,0.5547568401735068
Image_09L,Image_09L.png,Image_09L_2ndHO.png,0.7836033857352667,16.116399733066398,0.42109100579876085,0.5168658241574908
Image_09R,Image_09R.png,Image_09R_2ndHO.png,0.7785966467647469,16.63939460293627,0.4449257312203968,0.5101048965632299
Image_10L,Image_10L.png,Image_10L_2ndHO.png,0.7270229735049893,20.631240615615617,0.33349237830738554,0.5056931931931932
Image_10R,Image_10R.png,Image_10R_2ndHO.png,0.7483664623757672,19.15196550717384,0.3901353075375736,0.5172714381047714
Image_11L,Image_11L.png,Image_11L_2ndHO.png,0.7692080010465002,17.946378670337005,0.5149560484734717,0.49516078578578576
Image_11R,Image_11R.png,Image_11R_2ndHO.png,0.7923298866726117,16.03239593760427,0.5059093255670719,0.5044064898231565
Image_12L,Image_12L.png,Image_12L_2ndHO.png,0.7684964452989826,17.433075784117452,0.3732326760476635,0.5306243743743744
Image_12R,Image_12R.png,Image_12R_2ndHO.png,0.7508724495447615,19.604037370704038,0.39336572960760935,0.5075075075075075
Image_13L,Image_13L.png,Image_13L_2ndHO.png,0.7974365434289897,15.459698239906574,0.3874006526618278,0.5509791041041041
Image_13R,Image_13R.png,Image_13R_2ndHO.png,0.7665325633085833,17.017860568902236,0.2962833103962628,0.5483754587921255
Image_14L,Image_14L.png,Image_14L_2ndHO.png,0.7904005080637357,17.008591925258592,0.4560868150298248,0.5088911828495162
Image_14R,Image_14R.png,Image_14R_2ndHO.png,0.8111098816398644,14.356577410744077,0.3744797256248944,0.5688031781781782
Overall Average,-,-,0.7740771556567665,17.375182362421945,0.4022707369542922,0.5260049111611612
