Prefix,Folder1 File,Folder2 File,SSIM,MSE,NCC,Pixel Overlap
Image_01L,Image_01L.png,Image_01L_2ndHO.png,0.8139927436978608,15.255827702702703,0.4464945910601374,0.20509884884884885
Image_01R,Image_01R.png,Image_01R_2ndHO.png,0.8149533882028482,14.749293043043043,0.4402076938680642,0.19887804471137804
Image_02L,Image_02L.png,Image_02L_2ndHO.png,0.8000769559223644,16.25310414581248,0.4439465205395089,0.20000104270937605
Image_02R,Image_02R.png,Image_02R_2ndHO.png,0.7910456601838697,16.503332499165833,0.42129920611534105,0.19885406239572906
Image_03L,Image_03L.png,Image_03L_2ndHO.png,0.8034292052731319,16.77541916916917,0.4999815418294952,0.20705392892892893
Image_03R,Image_03R.png,Image_03R_2ndHO.png,0.8028342268827502,15.844526818485152,0.4524996972878372,0.20451076076076077
Image_04L,Image_04L.png,Image_04L_2ndHO.png,0.81135786174065,14.424479688021355,0.38262872468356735,0.21036453119786452
Image_04R,Image_04R.png,Image_04R_2ndHO.png,0.8234915692793142,13.815535326993661,0.4036936889335197,0.20635427093760428
Image_05L,Image_05L.png,Image_05L_2ndHO.png,0.8159924130274031,15.383113321654989,0.4817760047787218,0.20894957457457458
Image_05R,Image_05R.png,Image_05R_2ndHO.png,0.8020129695818166,16.719338088088087,0.487867825653295,0.21659784784784786
Image_06L,Image_06L.png,Image_06L_2ndHO.png,0.8266756622658721,14.29474578745412,0.45287003257582653,0.20305722389055722
Image_06R,Image_06R.png,Image_06R_2ndHO.png,0.7936657628200033,16.69342884551218,0.4241844744699995,0.20514472806139472
Image_07L,Image_07L.png,Image_07L_2ndHO.png,0.7969291098597097,16.411900442108774,0.4282153671718369,0.21224766433099768
Image_07R,Image_07R.png,Image_07R_1stHO.png,0.7910526754186945,16.74501480647314,0.43415723495555203,0.22254337671004337
Image_08L,Image_08L.png,Image_08L_2ndHO.png,0.7775275760621452,16.573302469135804,0.3465366397441705,0.19573844678011346
Image_08R,Image_08R.png,Image_08R_2ndHO.png,0.8144232843170288,14.968162954621288,0.4636578437526854,0.1971878128128128
Image_09L,Image_09L.png,Image_09L_2ndHO.png,0.8245635024752599,13.241624958291625,0.3780732933099326,0.22327535869202536
Image_09R,Image_09R.png,Image_09R_2ndHO.png,0.822711250460176,13.622596554888222,0.40241602457213854,0.2272313980647314
Image_10L,Image_10L.png,Image_10L_2ndHO.png,0.7552833151254398,18.61459480313647,0.33703752306265,0.20018560226893561
Image_10R,Image_10R.png,Image_10R_2ndHO.png,0.7865924855351013,17.439766850183517,0.4439922276549503,0.188768977310644
Image_11L,Image_11L.png,Image_11L_2ndHO.png,0.8170189499871651,14.818562312312313,0.4805232961991446,0.21490761594928262
Image_11R,Image_11R.png,Image_11R_2ndHO.png,0.833273512848498,13.206348014681348,0.4545605626867004,0.22130672339005672
Image_12L,Image_12L.png,Image_12L_2ndHO.png,0.7894779751503043,16.235870245245245,0.38669303285544615,0.21098285785785786
Image_12R,Image_12R.png,Image_12R_2ndHO.png,0.7765605774993274,17.938534367701035,0.41376145501349043,0.20716654154154154
Image_13L,Image_13L.png,Image_13L_2ndHO.png,0.8206317339135246,14.015289247580915,0.4044513488175315,0.21607336503169836
Image_13R,Image_13R.png,Image_13R_2ndHO.png,0.7886467365805995,15.785956790123457,0.32373386008796123,0.21765098431765098
Image_14L,Image_14L.png,Image_14L_2ndHO.png,0.8084945334559366,15.371120078411746,0.4375886207190123,0.21501397230563898
Image_14R,Image_14R.png,Image_14R_2ndHO.png,0.8301767561398067,13.676517142142142,0.4335315642217447,0.20284242575909242
Overall Average,-,-,0.804746156918093,15.549189516897851,0.42522785345072356,0.20849957099957098
