Prefix,Folder1 File,Folder2 File,SSIM,MSE,NCC,Pixel Overlap
Image_01L,Image_01L.png,Image_01L_2ndHO.png,0.8246920545989779,15.12950867534201,0.47484572930322183,0.2114625041708375
Image_01R,Image_01R.png,Image_01R_2ndHO.png,0.8261292532919693,14.665573907240574,0.47471181975256715,0.20915394561227896
Image_02L,Image_02L.png,Image_02L_2ndHO.png,0.8111331164116393,16.064804387721054,0.48101222434104074,0.20292897063730397
Image_02R,Image_02R.png,Image_02R_2ndHO.png,0.8008433207468475,16.185750333667002,0.4537805208871308,0.20382048715382048
Image_03L,Image_03L.png,Image_03L_2ndHO.png,0.8159639998286795,16.660000625625624,0.5409712131121076,0.20597681014347682
Image_03R,Image_03R.png,Image_03R_2ndHO.png,0.8143278609509288,15.690111986986986,0.4882133755956029,0.2095533033033033
Image_04L,Image_04L.png,Image_04L_2ndHO.png,0.8212877400414114,14.255673381715049,0.4104209524301253,0.22131506506506507
Image_04R,Image_04R.png,Image_04R_2ndHO.png,0.8340468338146508,13.469198365031698,0.4373560877109839,0.2206341758425092
Image_05L,Image_05L.png,Image_05L_2ndHO.png,0.8272249818071968,15.066751126126126,0.5171520540996916,0.21558120620620622
Image_05R,Image_05R.png,Image_05R_2ndHO.png,0.8133538487524364,16.61420691524858,0.5218075155998152,0.2120777027027027
Image_06L,Image_06L.png,Image_06L_2ndHO.png,0.8371077742015595,13.965302802802803,0.4827464360101079,0.21503795462128794
Image_06R,Image_06R.png,Image_06R_2ndHO.png,0.8039301804405988,16.42118993993994,0.4569853521370939,0.20580476309642975
Image_07L,Image_07L.png,Image_07L_2ndHO.png,0.806490426301914,16.35089360193527,0.4539205878188976,0.21064606272939607
Image_07R,Image_07R.png,Image_07R_1stHO.png,0.8005946160881604,16.63921317150484,0.4525431400770961,0.2176197030363697
Image_08L,Image_08L.png,Image_08L_2ndHO.png,0.7883524713752637,16.313057849516184,0.3674280539853202,0.20471096096096097
Image_08R,Image_08R.png,Image_08R_2ndHO.png,0.8272718160165682,14.536005797464131,0.49198351026639775,0.21154175008341675
Image_09L,Image_09L.png,Image_09L_2ndHO.png,0.8344114427794806,13.096566358024692,0.4020506513860374,0.24154675508842174
Image_09R,Image_09R.png,Image_09R_2ndHO.png,0.8335692484469711,13.44719094094094,0.42700116320000303,0.2426833083083083
Image_10L,Image_10L.png,Image_10L_2ndHO.png,0.7631736442825532,18.802421171171172,0.3528869544056541,0.198511011011011
Image_10R,Image_10R.png,Image_10R_2ndHO.png,0.7966221414404321,17.18575658992326,0.4740828606139142,0.19107023690357022
Image_11L,Image_11L.png,Image_11L_2ndHO.png,0.8281343813920139,14.820015849182516,0.5083764634758353,0.22604166666666667
Image_11R,Image_11R.png,Image_11R_2ndHO.png,0.8438561746476799,13.159076785118451,0.48358321922656244,0.23798798798798798
Image_12L,Image_12L.png,Image_12L_2ndHO.png,0.7998869794449163,16.008259300967634,0.4130866162170902,0.21112466633299967
Image_12R,Image_12R.png,Image_12R_2ndHO.png,0.7862181850166989,17.821042917917918,0.4409243139758137,0.20037537537537536
Image_13L,Image_13L.png,Image_13L_2ndHO.png,0.8306847563231402,13.863932682682682,0.4329873264388836,0.22884551217884552
Image_13R,Image_13R.png,Image_13R_2ndHO.png,0.7979441122763166,15.577547339005672,0.3438118150814975,0.22420128461795127
Image_14L,Image_14L.png,Image_14L_2ndHO.png,0.8190530521269964,15.391293376710044,0.4664698186371167,0.21739552052052052
Image_14R,Image_14R.png,Image_14R_2ndHO.png,0.8412394653355387,13.29693547714381,0.46237502087672766,0.21813375875875876
Overall Average,-,-,0.8152694242207693,15.374902916309166,0.45405409988079776,0.21484937318270653
