Prefix,Folder1 File,Folder2 File,SSIM,MSE,NCC,Pixel Overlap
Image_01L,Image_01L.png,Image_01L_2ndHO.png,0.825213195841513,14.844326618284951,0.48417205914464717,0.5609588755422089
Image_01R,Image_01R.png,Image_01R_2ndHO.png,0.8237053618799396,14.149020895895896,0.45472853572089783,0.5789664664664664
Image_02L,Image_02L.png,Image_02L_2ndHO.png,0.8019416528937756,16.468267225558893,0.478411689826476,0.5466038955622289
Image_02R,Image_02R.png,Image_02R_2ndHO.png,0.7920072495852104,16.097162787787788,0.4112569653955581,0.558201951951952
Image_03L,Image_03L.png,Image_03L_2ndHO.png,0.8043062774870356,16.669492409075744,0.48886441321646557,0.5599161661661661
Image_03R,Image_03R.png,Image_03R_2ndHO.png,0.8079630780668717,15.395137846179512,0.4464719793342147,0.5634874457791125
Image_04L,Image_04L.png,Image_04L_2ndHO.png,0.8206668370943069,13.869992909576244,0.40272641028771206,0.5848296212879546
Image_04R,Image_04R.png,Image_04R_2ndHO.png,0.8317218261187979,13.099491157824492,0.4048086097177979,0.5890995161828495
Image_05L,Image_05L.png,Image_05L_2ndHO.png,0.8188147635078689,15.22293439272606,0.5114557573790746,0.5504170837504171
Image_05R,Image_05R.png,Image_05R_2ndHO.png,0.8058406358418629,16.80633758758759,0.5110352697557268,0.5379765181848515
Image_06L,Image_06L.png,Image_06L_2ndHO.png,0.8355953236855963,13.925760135135135,0.48871111002635587,0.5736319652986319
Image_06R,Image_06R.png,Image_06R_2ndHO.png,0.7969925789720991,16.158937062062062,0.41912137784045833,0.5645343259926593
Image_07L,Image_07L.png,Image_07L_2ndHO.png,0.8015313790809068,16.19629004004004,0.4399632566920889,0.5490240240240241
Image_07R,Image_07R.png,Image_07R_1stHO.png,0.7995573851449006,16.3274242992993,0.4515818778216966,0.5549195028361695
Image_08L,Image_08L.png,Image_08L_2ndHO.png,0.7864891240946532,16.43180576409743,0.40411363606969813,0.5520009592926259
Image_08R,Image_08R.png,Image_08R_2ndHO.png,0.8207336355557896,14.48974495328662,0.47026722120857317,0.5713943109776443
Image_09L,Image_09L.png,Image_09L_2ndHO.png,0.8290337037158093,13.76268455955956,0.47846021171175607,0.5666416416416417
Image_09R,Image_09R.png,Image_09R_2ndHO.png,0.824942267550366,14.286196613279946,0.5078742712233894,0.5569569569569569
Image_10L,Image_10L.png,Image_10L_2ndHO.png,0.7656130415232484,18.547741491491493,0.373833234791115,0.5368795879212546
Image_10R,Image_10R.png,Image_10R_2ndHO.png,0.7897923335592812,17.039447781114447,0.4432512822061324,0.5466205789122456
Image_11L,Image_11L.png,Image_11L_2ndHO.png,0.8198121633805288,15.431254170837505,0.5799909746243944,0.5440012929596263
Image_11R,Image_11R.png,Image_11R_2ndHO.png,0.8399376602208278,13.924377502502503,0.5770131172538466,0.5548412996329662
Image_12L,Image_12L.png,Image_12L_2ndHO.png,0.8002286405411327,15.675093843843843,0.41817064159531886,0.5634749332665999
Image_12R,Image_12R.png,Image_12R_2ndHO.png,0.7861340091788871,17.37394060727394,0.4426653646605322,0.5407428261594929
Image_13L,Image_13L.png,Image_13L_2ndHO.png,0.8319444148248695,13.562122539205873,0.4477036931830566,0.5818485151818485
Image_13R,Image_13R.png,Image_13R_2ndHO.png,0.7972006301243083,15.271643518518518,0.34332367711892864,0.5716987821154488
Image_14L,Image_14L.png,Image_14L_2ndHO.png,0.8239640988193448,15.09050613113113,0.5076423147219002,0.5522261845178512
Image_14R,Image_14R.png,Image_14R_2ndHO.png,0.8375388335377344,12.909848390056723,0.4282446944805159,0.6109557474140808
Overall Average,-,-,0.811400789350981,15.322392258329758,0.45770941596458314,0.5615303919991421
